id,role_id,privilege_id,created_at
f39617a7-2886-4230-b661-0515d72306a1,2d7ff6fb-f853-4eb9-a367-4d57b8419801,ab3182c0-b92b-43e4-8258-bb2f33d178a1,2025-12-11 14:47:59.998241+00
de671760-573f-4655-9b16-5a77d4c2c178,2d7ff6fb-f853-4eb9-a367-4d57b8419801,6ade095a-5dcb-4323-886e-0e1290798345,2025-12-11 14:47:59.998241+00
88d75e0b-1dfb-4c01-a3ce-7a553e88c615,2d7ff6fb-f853-4eb9-a367-4d57b8419801,42717957-38b6-4d50-a797-1f5b23ce2201,2025-12-11 14:47:59.998241+00
adaf6025-8b7f-4ea1-8afa-c77bc547e852,2d7ff6fb-f853-4eb9-a367-4d57b8419801,07d322a2-bb5c-41e9-b4db-2732976f5b3a,2025-12-11 14:47:59.998241+00
a4d9baee-dea9-49e7-af5b-301f72cbe9ca,2d7ff6fb-f853-4eb9-a367-4d57b8419801,cf20f3a9-4f37-4724-b49d-0c5e165502d5,2025-12-11 14:47:59.998241+00
e075f6f6-4a5a-46fd-ba98-c38caa41c90c,78a683be-4a7d-4e56-98dc-ffb215acd935,378c249d-52f2-4b3e-99bf-9caf586feb4c,2025-12-11 14:47:59.998241+00
224605ba-7d39-4552-a17c-6cd4a734258e,78a683be-4a7d-4e56-98dc-ffb215acd935,43b06529-d8b9-4075-b19b-ca5980dc1cc8,2025-12-11 14:47:59.998241+00
2b2a7881-bb64-4ae9-b304-97c499f9e889,78a683be-4a7d-4e56-98dc-ffb215acd935,d232d869-3d4e-4bb4-8920-6917b2ae65e3,2025-12-11 14:47:59.998241+00
bfb47508-05fa-4770-b374-5c6e1e90d0f6,78a683be-4a7d-4e56-98dc-ffb215acd935,4a25be77-99eb-4c40-bfdb-2a27cbb4df57,2025-12-11 14:47:59.998241+00
938015ba-af41-4084-ae58-5e772d44f853,78a683be-4a7d-4e56-98dc-ffb215acd935,dcb4c346-b891-4d6b-8d9f-b22b12231ca1,2025-12-11 14:47:59.998241+00
c5044fc3-c009-4020-becd-c84acb14fec6,78a683be-4a7d-4e56-98dc-ffb215acd935,7403b69f-cfe9-481b-8a5a-4f3761fc8755,2025-12-11 14:47:59.998241+00
d26ad87f-c670-4c57-b5ac-4a2e3c737d35,78a683be-4a7d-4e56-98dc-ffb215acd935,32f2e927-d0f2-4f7a-90b4-7dc69f046a90,2025-12-11 14:47:59.998241+00
42debc00-7fed-44f0-bd89-d5b5e84cff6a,78a683be-4a7d-4e56-98dc-ffb215acd935,1b45773d-1084-4f5d-af42-87f9d9654668,2025-12-11 14:47:59.998241+00
